State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Karnataka,Tumkur,2005,14.8,9,6.7,62.9,95.7,39.5,169.5,166.4,87.5,301.5,69.7,7.2,1030.4
Karnataka,Tumkur,2006,0,0,76.1,23.3,88.6,109.9,40.7,18.8,58.8,75.3,92.3,0.1,583.9
Karnataka,Tumkur,2007,0,0,0,26.3,122.8,108.8,92.4,150.1,171.6,140.9,12.7,4.9,830.5
Karnataka,Tumkur,2008,0,38.8,92.6,14.9,94.6,77.8,139.1,216.8,135.8,118.2,26.7,0.6,955.9
Karnataka,Tumkur,2009,0.3,0,27.1,23.8,117.5,81.4,42.9,142,220.9,68.6,45.6,3.5,773.6
Karnataka,Tumkur,2010,6.6,0,6.3,79.8,114.9,74.6,127.6,164.5,109.8,118,179.5,0.1,981.7
Karnataka,Udupi,2004,0,0,0,3.3,528.4,1116.3,1088.3,949.8,172.8,139.6,87.8,0,4086.3
Karnataka,Udupi,2005,1.7,0,0,75.2,60.1,1050.7,1260,804.4,473.8,172.3,57.8,3.3,3959.3
Karnataka,Udupi,2006,1.5,0,0.7,0.5,468.6,1003.1,1223.5,967.6,589.2,239.5,162.7,0.5,4657.4
Karnataka,Udupi,2007,0,0,0,27.7,94.2,1312.9,1103.1,1116.2,902.2,238.5,60.2,1.2,4856.2
Karnataka,Udupi,2008,0,13.5,269.3,30.7,55.7,1173.8,712.6,831.2,537.6,160.1,20.8,7.3,3812.6
Karnataka,Udupi,2009,0,0,27.6,13.9,103.3,659.3,2281.5,713.6,743,318.4,163,27.6,5051.2
Karnataka,Udupi,2010,14.6,0,0,65.6,86.1,989.6,1515.4,911,633,492.1,221.7,21,4950.1
Karnataka,Uttar Kannada,2004,0.6,0.1,0,14.5,271.1,665.5,490.6,724,157.5,82.3,32.3,0,2438.5
Karnataka,Uttar Kannada,2005,1.1,0.2,0,75.8,32.7,669.5,1079.6,493.1,355.8,143.8,6,0.1,2857.7
Karnataka,Uttar Kannada,2006,0,0,8.3,0.6,319.7,708.9,967.5,784.4,407.6,217.7,50.8,0,3465.5
Karnataka,Uttar Kannada,2007,0,0.1,1.9,27.8,62.9,949.7,810.5,935.8,549.6,124.4,28.4,0.4,3491.5
Karnataka,Uttar Kannada,2008,0,5.3,95.3,11.9,40,697.5,545.6,831.9,311.7,51.9,8.4,1.5,2601.0
Karnataka,Uttar Kannada,2009,0,0,27.6,16.4,83.1,428,1412.6,365.7,503.2,267.1,113,12.6,3229.3
Karnataka,Uttar Kannada,2010,8.9,0,1.7,48.9,74.4,625,1206.2,555.2,497,261.8,195,6.3,3480.4
